text,text_en,cmp_code,eu_code,party,domain
Straftäter*innen müssen unabhängig vom Aufenthaltsstatus ein reguläres Strafverfahren im Inland erhalten und gegebenenfalls Haftstrafen im Inland verbüßen.,"Offenders must receive regular criminal proceedings in Germany regardless of their residence status and, if necessary, serve prison sentences in Germany.",503,,Die Linke,Welfare & Quality
"Wir wollen ein Bundespartizipationsgesetz, um Menschen mit Migrationsgeschichte besser einzubeziehen und mehr in der Gesellschaft zu repräsentieren.",We want a Federal Participation Act to better include people with a history of migration and give them more representation in society.,503,,Die Linke,Welfare & Quality
"Dazu gehören eine Quote, um den Anteil von Menschen mit Migrationsgeschichte in der öffentlichen Verwaltung entsprechend ihrem Anteil an der Bevölkerung zu erhöhen, und ein Partizipationsrat, der in wichtige Entscheidungen in Wirtschaft, Wissenschaft und Politik einbezogen wird.","This includes a quota to increase the proportion of people with a history of migration in public administration in line with their proportion of the population and a participation council that is involved in important decisions in business, science and politics.",503,,Die Linke,Welfare & Quality
Migrantische Selbstorganisationen müssen im Partizipationsrat vertreten sein.,Migrant self-organizations must be represented in the Participation Council.,607.2,,Die Linke,Non-coded
"Damit gleiche Teilhabe nicht nur im öffentlichen Dienst, sondern in allen Lebensbereichen möglich wird, soll es Quoten für von Diskriminierung betroffene Personengruppen wie Menschen mit Migrationsgeschichte und von Rassismus Betroffene auch auf dem privaten Arbeitsmarkt, in der Politik, in Kultur und Medien sowie in allen öffentlich geförderten Einrichtungen geben.","To ensure equal participation not only in the public sector, but in all areas of life, there should be quotas for groups affected by discrimination, such as people with a history of migration and those affected by racism, in the private labor market, in politics, culture and the media as well as in all publicly funded institutions.",503,,Die Linke,Welfare & Quality
Antirassismus ins Gesetz: Es braucht eine klare Arbeitsdefinition von institutionellem und strukturellem Rassismus.,Anti-racism in law: A clear working definition of institutional and structural racism is needed.,503,,Die Linke,Welfare & Quality
"Zudem fordern wir eine grundlegende Reform des Allgemeinen Gleichbehandlungsgesetzes (AGG), die insbesondere die Klagefristen verlängert, ein Verbandsklagerecht vorsieht, die Diskriminierungsformen „Staatsangehörigkeit“, „Aufenthaltsstatus“, „familiärer Status“ und „sozialer Status“ umfasst und auch staatliches Handeln einbezieht.","In addition, we are calling for a fundamental reform of the General Equal Treatment Act (AGG), which in particular extends the time limits for legal action, provides for the right of associations to bring legal action, covers the forms of discrimination ""nationality"", ""residence status"", ""family status"" and ""social status"" and also includes state action.",503,,Die Linke,Welfare & Quality
Eine*r Antirassismusbeauftragte*r muss es auch weiterhin geben.,There must continue to be an anti-racism commissioner.,503,,Die Linke,Welfare & Quality
Es braucht zudem ein gesetzliches Verbot rassistischer Polizeikontrollen („Racial Profiling“),"There also needs to be a legal ban on racist police checks (""racial profiling"")",503,,Die Linke,Welfare & Quality
und die Abschaffung von anlasslosen polizeilichen Kontrollbefugnissen,and the abolition of unjustified police powers of control,605.2,,Die Linke,Non-coded
sowie verpflichtende Antidiskriminierungsschulungen im gesamten öffentlichen Dienst.,as well as mandatory anti-discrimination training throughout the public service.,503,,Die Linke,Welfare & Quality
Die Zuständigkeit für Migration und Integration muss dem Bundesinnenministerium entzogen werden.,Responsibility for migration and integration must be taken away from the Federal Ministry of the Interior.,607.2,,Die Linke,Non-coded
Wir fordern ein Bundesministerium für Migration und Partizipation.,We call for a Federal Ministry for Migration and Participation.,607.2,,Die Linke,Non-coded
In Artikel 3 des Grundgesetzes soll eine Schutz- und Förderklausel für von rassistischer Diskriminierung Betroffene eingefügt werden.,A protection and support clause for those affected by racial discrimination should be inserted into Article 3 of the Basic Law.,204,,Die Linke,Freedom & Democracy
Wir fordern die Schaffung eine*s Beauftragten für muslimisches Leben und Maßnahmen gegen antimuslimischen Rassismus (Kapitel 15).,We call for the creation of a commissioner for Muslim life and measures against anti-Muslim racism (Chapter 15).,503,,Die Linke,Welfare & Quality
"Zivilgesellschaftliche Gruppen, die sich gegen Rassismus, Antisemitismus, Homo- und Transfeindlichkeit, Antiziganismus, antimuslimischen Rassismus und für mehr Demokratie engagieren, sowie Flüchtlingsräte, migrantische Verbände, selbstverwaltete Beratungsangebote und die Selbstorganisation von Migrant*innen wollen wir durch ein Demokratiefördergesetz stärken und endlich dauerhaft fördern (Kapitel 16)","We want to strengthen civil society groups that work against racism, anti-Semitism, homophobia and trans-hostility, antiziganism, anti-Muslim racism and for more democracy, as well as refugee councils, migrant associations, self-managed counselling services and the self-organization of migrants through a democracy promotion law and finally support them permanently (Chapter 16)",606.1,,Die Linke,Non-coded
"Wir setzen uns für eine umfassende Visaliberalisierung sowie für ein offenes und solidarisches Einwanderungsrecht ein, das sich nicht mehr am Maßstab Herkunft oder ökonomische Verwertbarkeit orientiert, sondern Teilhabe und Partizipation für alle ermöglicht.","We are committed to comprehensive visa liberalization and an open and solidarity-based immigration law that is no longer based on origin or economic usability, but enables participation for all.",607.2,,Die Linke,Non-coded
Auch Migration aus sozialen und wirtschaftlichen Motiven ist ein legitimes individuelles Bedürfnis.,Migration for social and economic reasons is also a legitimate individual need.,602.2,,Die Linke,Non-coded
"Bei der weiteren Ausgestaltung der Einwanderungsregeln im Aufenthaltsgesetz drängen wir vor allem auf Verbesserungen aus menschenrechtlicher Perspektive, bspw. bei Regeln zum Familiennachzug.","In the further development of immigration rules in the Residence Act, we are pushing for improvements from a human rights perspective, for example in the rules on family reunification.",201.2,,Die Linke,Non-coded
"Migrationsabkommen mit Herkunfts- und Transitstaaten, die vor allem der Abschottung Europas und erleichterten Abschiebungen dienen sollen, lehnen wir ab.",We reject migration agreements with countries of origin and transit states that are primarily intended to seal off Europe and facilitate deportations.,201.2,,Die Linke,Non-coded
18. Inklusion und Teilhabe – selbstverständlich!,18 Inclusion and participation - as a matter of course!,H,,Die Linke,Non-coded
"Nach unserem Verständnis ist Inklusion der Gegenentwurf zu sozialer Spaltung, zu Rassismus, Neofaschismus und Ausgrenzung: ein tiefgreifender Prozess zum Abbau von gesellschaftlichen Ungleichheiten, der sich auf all die Menschen bezieht, die von Teilhabe ausgeschlossen und an den Rand der Gesellschaft gedrängt werden – aufgrund ihrer ethnischen Zugehörigkeit, ihrer Religion, ihrer geschlechtlichen Identität, ihrer sexuellen Orientierung oder ihres Geschlechts, ihrer körperlichen Verfassung oder besonderer Lernbedürfnisse, aber vor allem aufgrund von Armut.","In our understanding, inclusion is the counter-design to social division, racism, neo-fascism and exclusion: a far-reaching process to reduce social inequalities, which refers to all those people who are excluded from participation and pushed to the margins of society - due to their ethnicity, religion, gender identity, sexual orientation or gender, physical condition or special learning needs, but above all due to poverty.",503,,Die Linke,Welfare & Quality
"Dabei erkennen wir an, dass Menschen mit Behinderung nach wie vor auf besondere Weise in vielen Lebensbereichen benachteiligt sind.",We recognize that people with disabilities are still particularly disadvantaged in many areas of life.,503,,Die Linke,Welfare & Quality
2023 wurde Deutschland von den Vereinten Nationen auf die Umsetzung der UN-Behindertenrechtskonvention hin geprüft.,"In 2023, Germany was assessed by the United Nations for its implementation of the UN Convention on the Rights of Persons with Disabilities.",503,,Die Linke,Welfare & Quality
"Vor allem das stark ausgebaute System von Sonderstrukturen – in der schulischen Bildung, bei der Beschäftigung in Werkstätten und in Form von großen stationären Wohneinrichtungen – wurde kritisiert.","In particular, the heavily developed system of special structures - in school education, employment in workshops and in the form of large inpatient residential facilities - was criticized.",503,,Die Linke,Welfare & Quality
"Solche Sonderstrukturen müssen nicht sein, sie verstoßen gegen die Menschenwürde.",Such special structures are not necessary; they violate human dignity.,503,,Die Linke,Welfare & Quality
"Wir wollen, dass Menschen mit Behinderungen an allen Aspekten des Lebens selbstverständlich teilhaben können.",We want people with disabilities to be able to participate in all aspects of life as a matter of course.,503,,Die Linke,Welfare & Quality
Der Begriff Inklusion wird oft auf Bildung beschränkt oder für Einsparungen missbraucht.,The term inclusion is often limited to education or misused to make savings.,503,,Die Linke,Welfare & Quality
"Wir wollen dagegen eine Gesellschaft, in der alle Menschen gleichberechtigt zusammenleben","In contrast, we want a society in which all people live together as equals",503,,Die Linke,Welfare & Quality
"und an den demokratischen Entscheidungen teilhaben können – unabhängig von ihren individuellen Fähigkeiten, ihrer körperlichen Verfassung, ihrer Herkunft und sozialen Stellung, ihrem Geschlecht, Alter oder ihrer sexuellen Orientierung.","and can participate in democratic decision-making - regardless of their individual abilities, physical condition, background and social status, gender, age or sexual orientation.",202.1,,Die Linke,Non-coded
Wir wollen Barrierefreiheit umfassend herstellen und (auch) die Privatwirtschaft dazu verpflichten.,We want to establish comprehensive accessibility and (also) oblige the private sector to do so.,503,,Die Linke,Welfare & Quality
"Dafür müssen verbindliche Regelungen in das Allgemeine Gleichbehandlungsgesetz (AGG) und in das Behindertengleichstellungsgesetz (BGG) aufgenommen werden, mit denen private Anbieter*innen von öffentlich zugänglichen Gütern und Dienstleistungen zur Herstellung von Barrierefreiheit verpflichtet werden.","To this end, binding regulations must be included in the General Equal Treatment Act (AGG) and the Disability Equality Act (BGG) to oblige private providers of publicly accessible goods and services to create accessibility.",503,,Die Linke,Welfare & Quality
"In das AGG wollen wir ein Verbandsklagerecht einführen, damit auch Antidiskriminierungsverbände ohne individuell klagewillige Betroffene gerichtliche Schritte einleiten können.",We want to introduce a right of action for associations into the AGG so that anti-discrimination associations can also take legal action without those affected being able to sue individually.,503,,Die Linke,Welfare & Quality
"Bildung inklusiv machen – inklusives Lernen in allen Bildungseinrichtungen: Die Förderschulen müssen umstrukturiert werden, an allen Regelschulen sollte sonderpädagogisches Personal eingestellt werden.",Making education inclusive - inclusive learning in all educational institutions: Special schools must be restructured and special education staff should be employed at all mainstream schools.,503,,Die Linke,Welfare & Quality
Bei den meisten Menschen entsteht eine Behinderung erst im Laufe ihres Lebens.,Most people only develop a disability in the course of their lives.,503,,Die Linke,Welfare & Quality
"Deshalb ist es wichtig, dass Aus-, Fort- und Weiterbildungen inklusiv ausgerichtet sind und inklusive Bildung bis ins hohe Alter möglich ist.","It is therefore important that education, training and further education are inclusive and that inclusive education is possible into old age.",503,,Die Linke,Welfare & Quality
Die Arbeitswelt inklusiv machen: Die Arbeitslosenquote bei Menschen mit Behinderung ist doppelt so hoch wie die der Gesamtbevölkerung.,Making the world of work inclusive: The unemployment rate for people with disabilities is twice as high as that of the population as a whole.,503,,Die Linke,Welfare & Quality
Die Beschäftigungspflicht von Menschen mit Behinderungen muss wieder auf sechs Prozent angehoben werden.,The employment obligation for people with disabilities must be raised again to six percent.,503,,Die Linke,Welfare & Quality
Die Betriebe dürfen sich daraus nicht rauskaufen können.,Companies must not be able to buy their way out of this.,503,,Die Linke,Welfare & Quality
"Inklusionsbetriebe besser fördern, denn diese leisten einen wesentlichen Beitrag zur Inklusion in den allgemeinen Arbeitsmarkt.","Better support for inclusive companies, as they make a significant contribution to inclusion in the general labor market.",503,,Die Linke,Welfare & Quality
Sie brauchen eine bessere öffentliche Finanzierung.,They need better public funding.,503,,Die Linke,Welfare & Quality
"Mindestlohn auch in den Werkstätten: Die Europäische Mindestlohnrichtlinie schreibt vor, dass auch in Werkstätten für Menschen mit Behinderung der Mindestlohn gezahlt werden muss.",Minimum wage in workshops too: The European Minimum Wage Directive stipulates that the minimum wage must also be paid in workshops for people with disabilities.,503,,Die Linke,Welfare & Quality
Auch in Deutschland muss diese Richtlinie unverzüglich umgesetzt werden!,This directive must also be implemented in Germany without delay!,503,,Die Linke,Welfare & Quality
"Es sollte alles getan werden, um eine wohnortnahe gesundheitliche und pflegerische Versorgung von Patient*innen und Klient*innen zu ermöglichen.",Everything should be done to ensure that patients and clients receive healthcare and nursing care close to home.,504,,Die Linke,Welfare & Quality
Dies sollte zu einer kommunalen Pflichtaufgabe erhoben werden.,This should be made a mandatory municipal task.,504,,Die Linke,Welfare & Quality
"Wir unterstützen die Forderung der Initiative „Politik gegen Aussonderung“ an den Deutschen Bundestag, eine Enquete-Kommission „Gesellschaftliche Inklusion“ einzusetzen, um demokratische Gesellschaftsstrukturen für alle Gesellschaftsmitglieder sicherzustellen","We support the demand of the ""Politics against segregation"" initiative to the German Bundestag to set up a commission of inquiry on ""Social inclusion"" to ensure democratic social structures for all members of society",202.1,,Die Linke,Non-coded
und die Entwicklung eines friedensfähigen Gemeinwesens voranzutreiben.,and to promote the development of a peaceful community.,606.1,,Die Linke,Non-coded
19. Medien und Kultur für eine plurale Gesellschaft,19 Media and culture for a pluralistic society,H,,Die Linke,Non-coded
Für demokratische Aushandlung und Meinungsbildung braucht es vielfältige Medien.,A diverse media is needed for democratic negotiation and opinion-forming.,202.1,,Die Linke,Non-coded
Aber Zeitungen sterben oder gehören immer häufiger Großkonzernen.,But newspapers are dying or are increasingly owned by large corporations.,202.1,,Die Linke,Non-coded
Private Plattformen verfügen über große Meinungs- und Marktmacht und setzen sie ein.,Private platforms have great opinion and market power and use it to their advantage.,403,,Die Linke,Economy
Hassbotschaften und Fake News nehmen zu.,Hate messages and fake news are on the rise.,202.1,,Die Linke,Non-coded
Der öffentlich-rechtliche Rundfunk sollte ein Gegengewicht sein.,Public service broadcasting should be a counterweight.,202.1,,Die Linke,Non-coded
Er muss seine demokratische Funktion besser erfüllen können.,It must be able to better fulfill its democratic function.,202.1,,Die Linke,Non-coded
Journalistische Standards in der Medienlandschaft müssen gestärkt werden.,Journalistic standards in the media landscape must be strengthened.,202.1,,Die Linke,Non-coded
"Die Programmvielfalt im öffentlich-rechtlichen Rundfunk muss erhalten bleiben, einschließlich Arte, 3-Sat und Kulturradios.","The diversity of programs in public broadcasting must be maintained, including Arte, 3-Sat and cultural radio stations.",502,,Die Linke,Welfare & Quality
"Breit gefächerte gesellschaftspolitische Informationen müssen gestärkt werden, für die bei den Privaten kaum Platz ist.","Broad-based socio-political information, for which there is hardly any room in private broadcasting, must be strengthened.",502,,Die Linke,Welfare & Quality
"Die Gehalts- und Ausgabenstrukturen im öffentlich-rechtlichen-Rundfunk müssen offengelegt werden, einschließlich der Beraterstrukturen.","Salary and expenditure structures in public service broadcasting must be disclosed, including consultant structures.",202.1,,Die Linke,Non-coded
Öffentliche Gelder nur bei transparenten Finanzen!,Public funding only with transparent finances!,202.1,,Die Linke,Non-coded
"Um Meinungsvielfalt zu erhalten, müssen Fusionen bei Medien stärker kontrolliert werden.","In order to maintain diversity of opinion, media mergers must be more strictly controlled.",403,,Die Linke,Economy
Non- Profit-Journalismus muss als gemeinnützig anerkannt werden.,Non-profit journalism must be recognized as non-profit.,202.1,,Die Linke,Non-coded
Systematische Einschüchterungsklagen oder Abmahnungen gegen kritische Recherchen müssen geahndet werden.,Systematic complaints of intimidation or warnings against critical research must be punished.,202.1,,Die Linke,Non-coded
Betroffene brauchen kostenlose juristische und psychosoziale Unterstützung.,Those affected need free legal and psychosocial support.,504,,Die Linke,Welfare & Quality
"Medienschaffende müssen besser vor Übergriffen, Verfolgung und Gewalt geschützt werden.","Media professionals must be better protected against attacks, persecution and violence.",605.1,,Die Linke,Non-coded
Straftaten gegen Medienschaffende sollten gesondert erfasst werden und von Schwerpunktstaatsanwaltschaften bearbeitet werden.,Crimes against media professionals should be recorded separately and dealt with by specialized public prosecutor's offices.,605.1,,Die Linke,Non-coded
Die Vertraulichkeit in Redaktionen und im Umgang mit Quellen muss vor staatlicher Überwachung geschützt werden.,Confidentiality in editorial offices and when dealing with sources must be protected from state surveillance.,201.1,,Die Linke,Non-coded
"Durch Künstliche Intelligenz erzeugte Medieninhalte müssen gekennzeichnet werden,",Media content generated by artificial intelligence must be labeled;,403,,Die Linke,Economy
Plattformen haften bei Falschinformationen und Rechtsverstößen durch solche Inhalte.,platforms are liable for false information and legal violations caused by such content.,403,,Die Linke,Economy
Die Nutzung urheberrechtlich geschützten Materials für das Training von KI-Modellen muss vergütet werden.,The use of copyrighted material for the training of AI models must be remunerated.,403,,Die Linke,Economy
Eine nicht kommerzielle Vervielfältigung und Nutzung urheberrechtlich geschützten Materials darf nicht kriminalisiert werden.,Non-commercial reproduction and use of copyrighted material must not be criminalized.,201.1,,Die Linke,Non-coded
Das Leistungsschutzrecht für Presseverlage und das Datenbankschutzrecht sollen abgeschafft werden.,The ancillary copyright for press publishers and the database protection right should be abolished.,201.1,,Die Linke,Non-coded
Soziale Einrichtungen und Menschen mit Behinderung wollen wir vom Rundfunkbeitrag befreien.,We want to exempt social institutions and people with disabilities from the broadcasting fee.,503,,Die Linke,Welfare & Quality
Beitragsbefreiungen sollten für Berechtigte automatisch erfolgen.,Contribution exemptions should be automatic for those entitled to them.,503,,Die Linke,Welfare & Quality
Kultur – vielfältig und für alle zugänglich,Culture - diverse and accessible to all,H,,Die Linke,Non-coded
Der Zugang zu Kultur soll nicht vom Geldbeutel abhängen.,Access to culture should not depend on your wallet.,503,,Die Linke,Welfare & Quality
"Wir wollen, dass Kunst und Kultur allen zugänglich ist",We want art and culture to be accessible to all,503,,Die Linke,Welfare & Quality
und nicht vorrangig über den Markt geregelt wird.,and not primarily regulated by the market.,403,,Die Linke,Economy
In diesem Sinne verteidigt Die Linke die grundgesetzlich verankerte Freiheit der Kunst.,"With this in mind, Die Linke defends the freedom of art enshrined in the constitution.",502,,Die Linke,Welfare & Quality
Kunst und Kultur müssen als Teil der Daseinsvorsorge öffentlich gefördert werden.,Art and culture must be publicly funded as part of services of general interest.,502,,Die Linke,Welfare & Quality
Kulturförderung sollte Pflichtaufgabe werden.,The promotion of culture should become a compulsory task.,502,,Die Linke,Welfare & Quality
"Länder und Kommunen müssen finanziell so ausgestattet werden, dass sie Kulturförderung betreiben können.",The federal states and local authorities must be given the financial resources they need to promote culture.,502,,Die Linke,Welfare & Quality
"Gemeinnützige Kultur- und Veranstaltungsstätten und Menschen, die ehrenamtlich kulturelle Angebote schaffen, brauchen verlässliche und unbürokratische Unterstützung.",Non-profit cultural and event venues and people who create cultural offerings on a voluntary basis need reliable and unbureaucratic support.,502,,Die Linke,Welfare & Quality
Das fördert kulturelle Teilhabe für alle.,This promotes cultural participation for all.,503,,Die Linke,Welfare & Quality
Das Kooperationsverbot zwischen Bund und Ländern muss beendet werden.,The ban on cooperation between the federal and state governments must be ended.,302,,Die Linke,Political System
"Wir brauchen Mindeststandards für die Honorierung von freier Kunst- und Kulturarbeit, verbindliche Basishonorare und rechtlich abgesicherte Ausstellungsvergütungen für bildende Künstler*innen.","We need minimum standards for the remuneration of independent art and cultural work, binding basic fees and legally secure exhibition remuneration for visual artists.",502,,Die Linke,Welfare & Quality
Die Künstlersozialkasse muss für weitere Berufsgruppen geöffnet und der Bundeszuschuss erhöht werden.,The artists' social security fund must be opened up to other professional groups and the federal subsidy increased.,504,,Die Linke,Welfare & Quality
Bei der Kulturförderung brauchen wir Vielfalt und Sensibilität für Diskriminierungen.,We need diversity and sensitivity to discrimination in cultural funding.,503,,Die Linke,Welfare & Quality
Das schließt paritätisch besetzte Gremien und Jurys ein.,This includes committees and juries with equal representation.,503,,Die Linke,Welfare & Quality
Wir brauchen klare rechtliche Regelungen für die Rückgabe von unrechtmäßig erworbenen Kulturgütern in Museen und Bibliotheken.,We need clear legal regulations for the return of unlawfully acquired cultural assets in museums and libraries.,103.1,,Die Linke,Non-coded
Die Herkunftsgeschichte muss mit öffentlichen Mitteln erforscht werden.,The history of origin must be researched with public funds.,103.1,,Die Linke,Non-coded
"Die kulturelle Filmförderung soll gestärkt werden, um den künstlerischen Wert von Filmen umfassender zu berücksichtigen.",Cultural film funding should be strengthened in order to take greater account of the artistic value of films.,502,,Die Linke,Welfare & Quality
"Der Filmförderungsanstalt (FFA) soll ein Diversitätsbeirat zur Seite gestellt werden, der sie in Fragen von Diversität, Geschlechtergerechtigkeit, Inklusion und Antidiskriminierung berät.","The German Federal Film Board (FFA) should be supported by a diversity advisory board that advises it on issues of diversity, gender equality, inclusion and anti-discrimination.",503,,Die Linke,Welfare & Quality
Künstlerisches Schaffen braucht Infrastruktur: von Proben- und Produktionsräumen bis hin zu Atelierhäusern für Kulturschaffende.,Artistic creation needs infrastructure: from rehearsal and production spaces to studios for artists.,502,,Die Linke,Welfare & Quality
"Diese oft ehrenamtlich geschaffenen Orte verdienen Bestandsschutz, finanzielle Unterstützung und Schutz vor Verdrängung durch Profitorientierung.","These venues, which are often created on a voluntary basis, deserve protection, financial support and protection from being squeezed out by profit orientation.",502,,Die Linke,Welfare & Quality
"Den internationalen künstlerischen Austausch wollen wir ausbauen, um Dialoge zu intensivieren und nachbarschaftliche Beziehungen zu stärken.",We want to expand international artistic exchange in order to intensify dialogues and strengthen neighbourly relationships.,502,,Die Linke,Welfare & Quality
Hierfür müssen Förderungsprogramme unbürokratischer zugänglich gemacht werden.,"To this end, funding programs must be made more accessible and less bureaucratic.",502,,Die Linke,Welfare & Quality
Sport ist kein Luxus,Sport is not a luxury,H,,Die Linke,Non-coded
Sport ist für alle da.,Sport is for everyone.,502,,Die Linke,Welfare & Quality
Dafür müssen die Zugangsbedingungen verbessert werden.,"Therefore, access conditions must be improved.",502,,Die Linke,Welfare & Quality
"Sport treiben zu können, soll nicht vom Einkommen und sozialen Status abhängen.",The ability to play sport should not depend on income and social status.,503,,Die Linke,Welfare & Quality
Wir wollen Sport als Staatsziel im Grundgesetz verankern.,We want to enshrine sport as a national objective in the Basic Law.,204,,Die Linke,Freedom & Democracy
Sport muss als Teil der Daseinsvorsorge öffentlich gefördert werden.,Sport must be publicly funded as part of public services.,502,,Die Linke,Welfare & Quality
"Dazu gehören die Sanierung von Turnhallen und Sportplätzen sowie die Schaffung moderner, barrierefreier und ökologischer Sportstätten und Schwimmbäder.","This includes the renovation of gyms and sports grounds as well as the creation of modern, barrier-free and ecological sports facilities and swimming pools.",502,,Die Linke,Welfare & Quality
Daran soll sich der Bund in den kommenden 15 Jahren mit jeweils einer Milliarde Euro pro Jahr beteiligen.,The federal government should contribute one billion euros per year to this over the next 15 years.,502,,Die Linke,Welfare & Quality
"Wir setzen uns für inklusiven, integrativen und umweltverträglichen Schul-, Breiten-, Gesundheits- und auch Spitzensport ein.","We are committed to inclusive, integrative and environmentally friendly school, grassroots, health and elite sport.",502,,Die Linke,Welfare & Quality
Sportangebote und die Sportförderung müssen geschlechtergerecht sein und alle Altersgruppen angemessen berücksichtigen.,Sports programs and sports funding must be gender-equitable and take all age groups into account appropriately.,503,,Die Linke,Welfare & Quality
Allen Schüler*innen soll die Teilnahme am Schwimmunterricht ermöglicht werden.,All pupils should be able to take part in swimming lessons.,506,,Die Linke,Welfare & Quality
Bis zum Ende der Primarstufe sollen alle Kinder sicher schwimmen können.,All children should be able to swim safely by the end of primary school.,506,,Die Linke,Welfare & Quality
Die Kommerzialisierung des Sports muss zurückgedrängt,The commercialization of sport must be pushed back,502,,Die Linke,Welfare & Quality
und die Vermittlung von Werten wie Respekt und Fairness gefördert werden.,and the teaching of values such as respect and fairness must be promoted.,606.1,,Die Linke,Non-coded
Verbraucher*innen stärken.,Empower consumers.,H,,Die Linke,Non-coded
Schluss mit den Schuldenfallen,Put an end to debt traps,H,,Die Linke,Non-coded
Die Konzerne nutzen ihre Macht gegenüber Verbraucher*innen aus.,Corporations are exploiting their power over consumers.,403,,Die Linke,Economy
"Wir wollen die Rechte der Verbraucher*innen stärken, dafür braucht es mehr Transparenz, einen starken, gut finanzierten Verbraucherschutz sowie klarere Regeln für die Konzerne.","We want to strengthen consumer rights, which requires more transparency, strong, well-funded consumer protection and clearer rules for corporations.",403,,Die Linke,Economy
Schluss mit Mogelpackungen und versteckten Preiserhöhungen.,An end to deceptive packaging and hidden price increases.,403,,Die Linke,Economy
Wir fordern die Abschaffung der Vorkasse bei Reisen und Schutz vor Airline-Insolvenzen.,We demand the abolition of advance payment for travel and protection against airline insolvencies.,403,,Die Linke,Economy
Von Sammelklagen sollen alle geschädigten Verbraucher*innen automatisch profitieren.,All aggrieved consumers should automatically benefit from class actions.,403,,Die Linke,Economy
Es braucht ein starkes Verbraucherinformationsgesetz und strengere Transparenzstandards sowie eine Haftung für Onlinemarktplätze und Onlineplattformen.,We need a strong consumer information law and stricter transparency standards as well as liability for online marketplaces and online platforms.,403,,Die Linke,Economy
Gegen Green- und Socialwashing muss aktiver vorgegangen werden.,Greenwashing and socialwashing must be tackled more actively.,403,,Die Linke,Economy
Die Verbraucherhilfe in sozialen Quartieren und ländlichen Gebieten muss ausgebaut werden.,Consumer assistance in social neighborhoods and rural areas must be expanded.,403,,Die Linke,Economy
Schuldenfallen und ihre Profiteure bekämpfen: Schluss mit Wucherzinsen für Verbraucherkredite.,Combat debt traps and their profiteers: put an end to usurious interest rates on consumer loans.,403,,Die Linke,Economy
Telefonische Verträge sollen nur nach schriftlicher Bestätigung gelten.,Telephone contracts should only be valid after written confirmation.,403,,Die Linke,Economy
Wir fordern eine kostenfreie Schuldnerberatung.,We demand free debt counseling.,504,,Die Linke,Welfare & Quality
Die Inkasso-Abzocke muss beendet werden.,The debt collection rip-off must be stopped.,403,,Die Linke,Economy
Die Schufa soll durch eine unabhängige öffentliche Einrichtung ersetzt werden.,Schufa should be replaced by an independent public institution.,403,,Die Linke,Economy
Verbraucherschutz bei Finanzprodukten: Wir wollen unabhängige Finanzberatungen durch Verbraucherzentralen stärken.,Consumer protection for financial products: We want to strengthen independent financial advice from consumer advice centers.,403,,Die Linke,Economy
Finanz- und Versicherungsprodukte dürfen nicht auf Provision verkauft werden.,Financial and insurance products must not be sold on commission.,403,,Die Linke,Economy
Jede*r hat ein Recht auf ein kostenfreies Basiskonto.,Everyone has the right to a free basic account.,403,,Die Linke,Economy
"Lichtwerbung ist nicht nur nervig, sie kostet auch viel Energie,","Illuminated advertising is not only annoying, it also costs a lot of energy, is",416.2,,Die Linke,Non-coded
lenkt ab und beeinträchtigt Menschen und Tiere.,distracts people and animals.,501,,Die Linke,Welfare & Quality
Wir wollen sie einschränken.,We want to restrict them.,403,,Die Linke,Economy
"Zusätzlich fordern wir Werbeverbote für besonders klimaschädliche Produkte und Aktivitäten wie z.B. Stadtgeländewagen (SUVs), Kreuzfahrten oder Flugreisen.","We are also calling for advertising bans on particularly climate-damaging products and activities such as SUVs, cruises and air travel.",403,,Die Linke,Economy
20. Digitalisierung fürs Gemeinwohl statt für Konzernprofite,20. digitalization for the common good instead of corporate profits,H,,Die Linke,Non-coded
"Wir setzen uns dafür ein, dass Digitalisierung an den Bedürfnissen der Menschen ausgerichtet wird,","We are committed to ensuring that digitalization is geared towards people's needs,",411,,Die Linke,Economy
die Demokratie stärkt,strengthens democracy,202.1,,Die Linke,Non-coded
"und hilft, das Klima zu schützen.",and helps to protect the climate.,501,,Die Linke,Welfare & Quality
"Digitalisierung soll tatsächliche soziale Begegnungen, direkte Kommunikation und kulturelle Teilhabe nicht ersetzen, sondern ergänzen und fördern.","Digitalization should not replace actual social encounters, direct communication and cultural participation, but rather complement and promote them.",411,,Die Linke,Economy
Dazu müssen Profitinteressen zurückgedrängt,"To this end, profit interests must be pushed back",403,,Die Linke,Economy
und staatlicher Überwachungswut ein Riegel vorgeschoben werden.,and the state's obsession with surveillance must be curbed.,201.1,,Die Linke,Non-coded
"Kritische Auseinandersetzung mit technologischen Scheinlösungen, mit der Macht der Tech-Konzerne und den sozialen und kulturellen Folgen von Digitalisierung müssen Teil der Schul- und Erwachsenenbildung werden.","A critical examination of pseudo technological solutions, the power of tech companies and the social and cultural consequences of digitalization must become part of school and adult education.",506,,Die Linke,Welfare & Quality
Teilhabe an der digitalen Gesellschaft muss für alle sichergestellt sein – auch auf dem Land und für Menschen mit kleinem Geldbeutel.,Participation in the digital society must be guaranteed for everyone - even in rural areas and for people on a budget.,503,,Die Linke,Welfare & Quality
"Deshalb wollen wir den kommunalen und gemeinnützigen Ausbau von Glasfasernetzen fördern,","That is why we want to promote the municipal and non-profit expansion of fiber optic networks,",411,,Die Linke,Economy
"unnötigen Doppelausbau verhindern,","prevent unnecessary duplication,",403,,Die Linke,Economy
